"key","riskFactor.kcd","disease.kcd","pValue","RR","age","sex"
"B37 (interacts with) S09","B37","S09",6.92565055272155e-11,4.55288074133763,4,2
"B37 (interacts with) S97","B37","S97",5.12922562952809e-06,5.14023358840113,14,2
"B66 (interacts with) C22","B66","C22",8.5432225193163e-06,4.18873355263158,12,2
"B66 (interacts with) D13","B66","D13",3.16255367698223e-06,4.29212362911266,7,1
"B66 (interacts with) J47","B66","J47",3.22594525767324e-08,4.35985279357645,10,2
"B85 (interacts with) A60","B85","A60",2.19173982067177e-09,5.56888185246682,9,1
"B85 (interacts with) A63","B85","A63",2.11195044685459e-05,4.1905808477237,7,1
"B85 (interacts with) B86","B85","B86",9.69137620324495e-06,4.44001961454448,8,1
"B85 (interacts with) N97","B85","N97",3.21701459639654e-09,5.95867430441899,4,2
"B86 (interacts with) A54","B86","A54",2.81000384349129e-10,4.13161740949861,4,1
"B86 (interacts with) Z48","B86","Z48",3.06010992412277e-07,4.44626329075193,4,2
"B90 (interacts with) A15","B90","A15",2.06875916679609e-19,16.708843537415,11,2
"B90 (interacts with) A16","B90","A16",1.43084753769446e-08,5.28594847775176,11,1
"B90 (interacts with) J46","B90","J46",1.93738808498041e-08,4.90665917129272,13,2
"B90 (interacts with) J47","B90","J47",3.68887460647896e-15,6.72310872261265,12,2
"B90 (interacts with) J98","B90","J98",2.14154173582987e-09,5.45014174781215,11,2
"B90 (interacts with) N31","B90","N31",3.01241933528925e-14,4.76004728132388,17,2
"B96 (interacts with) B30","B96","B30",0,4.46231155778894,0,1
"B96 (interacts with) N28","B96","N28",9.94831309009113e-07,4.80418592706728,8,1
"C16 (interacts with) C18","C16","C18",4.66024154368114e-07,4.40604906785445,11,2
"C16 (interacts with) C78","C16","C78",1.03120682260097e-11,4.97119341563786,13,2
"C16 (interacts with) C79","C16","C79",7.22367069589818e-16,5.69145728643216,11,1
"C16 (interacts with) D13","C16","D13",2.03192253583685e-06,4.63750889900022,8,1
"C16 (interacts with) D53","C16","D53",6.36811382789381e-19,8.72187218721872,13,1
"C16 (interacts with) E44","C16","E44",1.4331686149871e-08,5.16316887579774,10,1
"C16 (interacts with) K56","C16","K56",1.34854999766748e-08,4.34527332721026,9,1
"C16 (interacts with) K85","C16","K85",3.33428460272467e-06,4.49306014540648,8,1
"C16 (interacts with) R18","C16","R18",2.57351461384594e-16,12.1564356435644,11,2
"C16 (interacts with) Z51","C16","Z51",3.43342731658391e-06,4.38628003630631,10,1
"C18 (interacts with) C16","C18","C16",2.77321772985155e-08,4.64257462686567,11,1
"C18 (interacts with) C22","C18","C22",1.64463816422888e-09,4.93199806170247,12,2
"C18 (interacts with) C78","C18","C78",3.05419406465532e-11,6.27105896510229,11,1
"C18 (interacts with) C79","C18","C79",3.85460412705001e-10,4.75824094604582,12,1
"C18 (interacts with) M35","C18","M35",2.94937362530977e-07,4.51631546190095,12,2
